height,weight,age,male,Gender
145.415,39.3774555,42,0,Female
162.56,56.755699,30,0,Female
157.48,50.802304,19,0,Female
157.48,47.570461,43,1,Male
149.225,45.075705,47,0,Female
146.7,42.4,20,1,Male
156.845,47.62716,31,1,Male
53.975,4.252425,0,0,Female
163.83,62.992589,35,1,Male
146.05,44.7638605,21,0,Female
146.05,34.189497,23,0,Female
153.67,47.400364,75.5,1,Male
150.495,44.111822,50,0,Female
113.03,17.8885345,5,1,Male
121.92,20.41164,8,1,Male
124.46,18.257078,12,0,Female
151.13,46.1246365,35,0,Female
127.9906,29.8520235,13,1,Male
162.56,47.0318205,27,0,Female
96.52,13.267566,3,0,Female
147.955,49.89512,19,0,Female
148.59,32.4601775,16,0,Female
160.655,47.4854125,54,1,Male
147.32,51.255896,38,0,Female
160.655,54.090846,26,1,Male
147.955,32.488527,12,1,Male
152.4,45.1607535,38,0,Female
168.91,58.8252125,41,1,Male
144.145,34.246196,64.5,0,Female
149.225,45.075705,47,0,Female
156.21,41.050076,53,1,Male
93.345,13.1825175,5,1,Male
83.185,9.1568885,2,1,Male
145.415,31.127751,17,1,Male
74.295,9.752228,1,1,Male
150.495,41.900561,55,0,Female
160.02,45.9545395,57,1,Male
153.035,39.972795,49.5,0,Female
153.035,39.5475525,33,0,Female
154.94,48.137451,26,0,Female
60.452,5.6699,1,1,Male
162.8648,49.384829,24,1,Male
146.685,46.549879,62,0,Female
123.825,20.581737,9,0,Female
148.59,39.519203,62,1,Male
132.715,24.9759095,15,1,Male
156.21,46.379782,24,0,Female
158.115,43.09124,17,1,Male
144.145,33.906002,34,0,Female
149.225,38.2434755,32,0,Female
145.415,37.931631,49,0,Female
156.21,44.111822,21,0,Female
165.735,48.3358975,30,1,Male
159.385,50.689,45,1,Male
147.32,40.312989,16,1,Male
164.465,52.16308,71,1,Male
111.76,15.081934,9,1,Male
145.415,45.642695,23,0,Female
97.9932,13.2959155,5,1,Male
150.495,43.4597835,27,0,Female
160.02,48.19415,25,1,Male
163.195,53.0986135,22,1,Male
161.0106,48.420946,31,1,Male
147.955,39.3774555,30,0,Female
92.71,12.757275,3,1,Male
158.75,52.5316235,68,1,Male
137.16,28.91649,15,1,Male
150.495,33.849303,65.3,0,Female
163.195,51.0291,39,1,Male
115.6,18.9,7,1,Male
143.51,41.6454155,19,0,Female
143.9418,38.3568735,31,0,Female
94.615,13.0124205,4,0,Female
105.41,13.947954,8,0,Female
93.98,14.288148,5,0,Female
141.605,31.524644,19,1,Male
159.385,42.977842,43,1,Male
86.36,10.489315,6.5,0,Female
159.385,45.019006,51,1,Male
145.415,35.493574,15,1,Male
147.955,34.869885,19,0,Female
162.56,52.16308,31,1,Male
160.02,55.791816,48,1,Male
158.115,46.266384,45,1,Male
160.655,47.286966,43,1,Male
140.335,36.5992045,62,0,Female
147.32,36.967748,48,0,Female
157.48,45.5576465,53,0,Female
160.9852,46.6916265,51,1,Male
156.845,45.642695,41,1,Male
163.83,46.719976,58,1,Male
150.495,41.900561,55,0,Female
91.44,11.7083435,3,0,Female
160,51.2,25,1,Male
149.225,40.82328,52,0,Female
156.845,45.6710445,43,0,Female
85.09,11.453198,3,1,Male
161.925,47.286966,60,1,Male
160.02,54.601137,28,0,Female
59.6138,5.896696,1,0,Female
92.71,12.757275,3,1,Male
142.875,32.715323,73.3,0,Female
117.983,20.354941,8,1,Male
143.51,38.4135725,39,0,Female
147.32,35.4652245,19,0,Female
165.735,48.3358975,30,1,Male
140.97,40.936678,85.5999999999999,0,Female
149.86,38.6970675,58,0,Female
74.93,8.50485,1,1,Male
67.31,7.200773,1,0,Female
152.4,44.678812,38,0,Female
168.91,55.4799715,27,1,Male
158.115,45.2174525,43,1,Male
160.655,53.637254,44,1,Male
165.1,51.199197,49,1,Male
120.65,21.1770765,12,0,Female
157.48,40.6248335,19,1,Male
152.4,43.431434,21,0,Female
105.41,13.947954,8,0,Female
153.67,47.400364,75.5,1,Male
151.765,34.7848365,21.5,0,Female
161.925,50.2636635,38,1,Male
151.9936,49.951819,30,0,Female
146.05,37.9032815,16,1,Male
71.12,7.540967,1,1,Male
149.86,39.008912,18,0,Female
100.965,14.3164975,5,1,Male
133.985,27.442316,12,1,Male
142.875,32.715323,73.3,0,Female
139.7,26.5634815,15,1,Male
159.4,44.4,54,1,Male
161.925,56.9541455,38.7,1,Male
119.38,21.5172705,7,1,Male
145.415,42.127357,29,0,Female
71.12,8.051258,0,1,Male
111.76,16.499409,6,1,Male
163.83,46.776675,21,1,Male
93.98,13.834556,4,0,Female
163.83,55.9335635,35,1,Male
106.045,16.272613,6,1,Male
131.445,22.509503,14,0,Female
153.035,49.5832755,46,0,Female
91.44,12.927372,0.599999999999909,1,Male
151.9936,49.951819,30,0,Female
74.93,8.50485,1,1,Male
151.765,42.807745,43,0,Female
91.44,12.530479,4,1,Male
154.94,45.4442485,31,1,Male
157.48,40.6248335,19,1,Male
106.68,15.989118,8,0,Female
90.805,11.623295,3,0,Female
167.005,55.1964765,42,1,Male
140.335,37.4496895,22,0,Female
125.095,22.3677555,11,0,Female
148.59,43.885026,33,0,Female
151.13,43.9700745,26,1,Male
148.59,39.4341545,47,0,Female
155.575,42.0990075,26,0,Female
147.955,33.792604,17,0,Female
161.3,43.3,20,1,Male
151.765,48.024053,50,0,Female
153.035,49.89,88,1,Male
142.875,34.416293,57,0,Female
60.96,6.23689,0,1,Male
152.4,41.106775,29,0,Female
169.545,53.523856,41,1,Male
148.59,39.4341545,47,0,Female
152.4,41.106775,29,0,Female
147.955,41.900561,17,0,Female
71.12,8.051258,0,1,Male
154.305,41.2485225,55,1,Male
154.305,47.853956,34,0,Female
80.01,9.865626,1,1,Male
156.21,43.885026,30,0,Female
160.655,48.5059945,24,1,Male
91.44,11.623295,4,0,Female
156.21,45.6,43,0,Female
144.78,41.1918235,67,0,Female
102.235,13.1258185,6,0,Female
145.415,41.276872,51,0,Female
147.32,35.947166,40,0,Female
154.305,46.776675,51,0,Female
155.575,50.915702,50,1,Male
127,24.4089195,15,0,Female
154.305,41.2485225,55,1,Male
144.78,41.1918235,67,0,Female
151.765,47.8256065,63,1,Male
153.67,44.8205595,18,0,Female
147.32,36.967748,48,0,Female
68.58,8.0229085,0,0,Female
111.125,17.123098,11,1,Male
149.225,41.276872,26,0,Female
141.605,42.88542,43,0,Female
162.56,49.5549,19,1,Male
94.615,13.0124205,4,0,Female
76.2,9.2135875,1,1,Male
128.905,23.359988,12,0,Female
149.225,40.3980375,53,0,Female
158.115,46.5215295,51,1,Male
114.3,19.4194075,8,0,Female
147.32,51.255896,38,0,Female
85.09,10.8011595,3,1,Male
67.31,7.200773,1,0,Female
167.005,50.6038575,49,1,Male
151.13,36.7126025,70,0,Female
83.82,9.2135875,1,0,Female
149.225,42.127357,18,0,Female
144.145,37.194544,27,0,Female
133.35,23.756881,14,0,Female
85.09,12.360382,1,1,Male
113.665,17.463292,6,1,Male
149.225,44.0834725,56,0,Female
156.845,46.5782285,41,1,Male
161.29,50.4337605,41,1,Male
142.875,38.838815,27,0,Female
161.925,47.286966,60,1,Male
144.145,38.9238635,64,0,Female
146.05,37.5063885,53,0,Female
67.945,7.9662095,1,0,Female
127,22.0105518,13,1,Male
134.62,27.1304715,13,0,Female
160.655,48.5059945,24,1,Male
147.955,41.163474,37,0,Female
154.94,48.137451,26,0,Female
157.48,45.869491,41,1,Male
153.035,45.245802,61,0,Female
141.605,29.313383,15,1,Male
164.465,53.183662,41,1,Male
67.945,7.824462,0,1,Male
149.225,43.941725,33,1,Male
158.115,43.147939,63,1,Male
145.415,34.246196,14,0,Female
86.36,10.489315,6.5,0,Female
162.56,56.018612,42,1,Male
158.8,50.9,20,0,Female
159.385,50.178615,63,1,Male
163.83,55.394923,43,1,Male
120.65,21.1770765,12,0,Female
93.345,13.1825175,5,1,Male
149.225,38.1300775,17,1,Male
155.575,54.317642,37,0,Female
135.89,27.21552,15,0,Female
167.005,57.0675435,38,1,Male
147.955,40.086193,38,0,Female
160.02,51.9646335,38,1,Male
117.983,24.097075,13,0,Female
161.925,51.59609,36,1,Male
152.4,51.255896,34,0,Female
162.56,56.018612,42,1,Male
134.62,27.1304715,13,0,Female
158.75,51.482692,59,1,Male
149.86,52.673371,40,0,Female
160.655,47.8823055,24,1,Male
160.9852,46.6916265,51,1,Male
163.195,49.101334,43,1,Male
159.385,50.178615,63,1,Male
154.94,48.2224995,26,0,Female
133.985,28.1510535,13,1,Male
127.635,24.4089195,9,1,Male
158.115,47.4854125,45,1,Male
156.845,53.0419145,41,1,Male
158.115,46.266384,45,1,Male
127,21.488921,12,0,Female
153.035,39.5475525,33,0,Female
153.67,41.333571,27,0,Female
161.925,53.2120115,55,0,Female
171.45,56.5572525,52,1,Male
154.305,47.62716,25,0,Female
165.1,54.487739,54,1,Male
81.5848,10.659412,3,0,Female
170.815,59.760746,33,1,Male
151.765,35.2951275,74,0,Female
152.4,40.82328,49,0,Female
155.575,45.529297,21,0,Female
147.955,41.276872,17,0,Female
165.735,47.7122085,32,1,Male
146.05,37.9032815,16,1,Male
160.9852,50.972401,48,1,Male
156.21,42.7226965,29,0,Female
167.64,50.688906,57,1,Male
126.365,21.9141635,15,1,Male
76.2,9.2135875,1,1,Male
129.54,23.586784,13,1,Male
143.51,34.8415355,16,1,Male
151.765,42.524,83.4000000000001,1,Male
165.989,56.415505,25,1,Male
156.845,45.642695,41,1,Male
154.305,50.2069645,68,0,Female
161.29,41.8722115,24,1,Male
76.2,8.50485,1,0,Female
163.83,47.910655,57,1,Male
153.67,40.766581,16,0,Female
97.79,12.757275,5,0,Female
162.56,56.755699,30,0,Female
129.54,24.550667,13,1,Male
124.9934,25.117657,13,1,Male
149.225,52.3048275,35,0,Female
159.385,49.044635,29,1,Male
160.02,48.19415,25,1,Male
153.67,44.22522,26,0,Female
151.13,36.7126025,70,0,Female
144.145,39.4341545,34,0,Female
167.005,52.900167,32,1,Male
132.715,24.777463,13,0,Female
157.48,45.5576465,53,0,Female
142.875,37.3362915,39,0,Female
111.125,17.690088,6,1,Male
152.4,43.431434,21,0,Female
159.385,47.2019175,28,1,Male
149.86,40.936678,43,0,Female
179.07,55.7067675,23,1,Male
159.385,44.4236665,83,0,Female
110.49,17.6617385,11,0,Female
141.605,44.338618,24,0,Female
156.21,44.0267735,33,0,Female
160.655,39.7743485,65,1,Male
144.145,37.194544,27,0,Female
129.54,23.586784,13,1,Male
151.13,43.9700745,26,1,Male
161.29,52.219779,31,1,Male
146.685,36.0889135,62,0,Female
142.875,34.246196,31,0,Female
121.92,23.2182405,8,1,Male
154.94,43.3463855,46,0,Female
167.005,47.173568,30,1,Male
146.05,34.189497,23,0,Female
154.305,47.853956,34,0,Female
81.28,11.509897,1,1,Male
165.989,48.647742,27,1,Male
158.115,43.09124,17,1,Male
123.825,21.205426,10,1,Male
99.695,16.2442635,5,0,Female
100.965,13.7495075,4,1,Male
160.9598,43.204638,29,1,Male
157.48,41.3052215,17,1,Male
152.7048,46.606578,33,0,Female
147.955,44.735511,16,0,Female
85.09,12.360382,1,1,Male
158.115,43.147939,63,1,Male
154.305,50.2069645,68,0,Female
97.155,17.066399,7,0,Female
148.59,42.52425,35,0,Female
100.965,14.3164975,5,1,Male
170.815,58.456669,28,1,Male
156.21,44.0267735,33,0,Female
127,24.4089195,15,0,Female
145.415,39.3774555,42,0,Female
161.925,41.730464,29,1,Male
100.076,15.081934,6,1,Male
138.43,39.0939605,23,0,Female
140.0048,28.3495,15,0,Female
97.79,13.267566,5,0,Female
114.3,19.050864,7,1,Male
93.345,14.004653,3,0,Female
139.065,33.5941575,68,0,Female
149.225,40.3980375,53,0,Female
154.94,43.3463855,46,0,Female
92.71,12.076887,5,0,Female
147.955,42.751046,56,0,Female
151.765,34.7848365,21.5,0,Female
100.076,15.081934,6,1,Male
62.865,7.200773,0,1,Male
160.655,55.3665735,45,1,Male
147.32,40.8516295,64,0,Female
168.91,56.4438545,38,1,Male
172.9994,51.255896,38,1,Male
153.67,44.565414,54,0,Female
150.1648,41.95726,22,0,Female
144.145,33.906002,34,0,Female
88.9,11.5949455,3,1,Male
114.935,17.519991,7,1,Male
124.9934,25.117657,13,1,Male
125.095,22.5945515,12,0,Female
148.2852,38.441922,39,0,Female
149.86,38.668718,57,0,Female
157.48,50.178615,42,1,Male
164.465,45.8978405,50,1,Male
96.52,13.267566,3,0,Female
145.415,41.276872,51,0,Female
144.145,34.246196,64.5,0,Female
166.37,48.987936,41,1,Male
84.455,11.7650425,1,1,Male
116.84,19.391058,8,0,Female
142.875,34.246196,31,0,Female
154.94,47.2019175,22,0,Female
123.19,20.808533,8,1,Male
144.78,32.545226,15,0,Female
153.035,32.205032,79,0,Female
114.3,20.4966885,10,0,Female
129.54,21.999212,12,0,Female
150.495,40.483086,68,0,Female
157.48,44.6504625,18,1,Male
113.665,16.782904,5,1,Male
100.965,14.401546,5,1,Male
127,22.0105518,13,1,Male
144.78,36.0322145,73,0,Female
121.92,19.787951,8,0,Female
146.685,46.549879,62,0,Female
121.92,19.787951,8,0,Female
154.94,44.111822,44,1,Male
160.655,53.637254,44,1,Male
156.845,53.0419145,41,1,Male
161.925,41.730464,29,1,Male
145.415,42.410852,52,0,Female
142.875,32.205032,17,0,Female
153.67,48.307548,38,1,Male
162.56,43.204638,62,1,Male
151.13,41.220173,66,1,Male
146.05,37.5063885,53,0,Female
114.3,20.4966885,10,0,Female
152.4,39.292407,49,0,Female
118.745,18.824068,9,0,Female
153.035,32.205032,79,0,Female
147.955,42.751046,56,0,Female
163.83,54.2892925,44,1,Male
149.86,42.410852,35,0,Female
113.665,16.782904,5,1,Male
109.22,11.7083435,2,0,Female
111.76,17.8318355,8.90000000000009,1,Male
161.925,50.2636635,38,1,Male
88.265,12.7856245,2,0,Female
152.4,36.4858065,79.3,1,Male
60.452,5.6699,1,1,Male
155.575,42.0990075,26,0,Female
147.955,40.312989,29,1,Male
124.46,18.257078,12,0,Female
144.78,38.045029,29,0,Female
157.48,44.565414,33,1,Male
100.965,13.7495075,4,1,Male
147.32,40.8516295,64,0,Female
159.4,44.4,54,1,Male
66.04,7.5693165,1,1,Male
160.02,44.622113,68,1,Male
